animal_id,animal_type,animal_breed,month,year,census_tract,council_district,intake_type,intake_date,outcome_type,outcome_date,chip_status,animal_origin
A0972046,CAT,DOMESTIC SH,JAN,2017,10102,6,STRAY,1/4/17,RETURNED TO OWNER,1/8/17,SCAN NO CHIP,OVER THE COUNTER
A1005014,DOG,AMERICAN STAFF,AUG,2017,8701,4,STRAY,8/13/17,RETURNED TO OWNER,8/14/17,SCAN CHIP,FIELD
A0972558,DOG,PIT BULL,JAN,2017,17102,8,STRAY,1/8/17,EUTHANIZED,1/8/17,SCAN NO CHIP,OVER THE COUNTER
A0990372,CAT,DOMESTIC SH,APR,2017,9000,7,OWNER SURRENDER,4/24/17,TRANSFER,4/30/17,SCAN NO CHIP,OVER THE COUNTER
A0984362,DOG,CHIHUAHUA SH,MAR,2017,20300,7,STRAY,3/11/17,RETURNED TO OWNER,3/11/17,SCAN CHIP,FIELD
A0963009,DOG,CHIHUAHUA SH,NOV,2016,4500,1,OWNER SURRENDER,11/3/16,ADOPTION,11/4/16,SCAN NO CHIP,OVER THE COUNTER
A0998900,WILDLIFE,GUINEA PIG,JUN,2017,20500,6,OWNER SURRENDER,6/17/17,TRANSFER,6/19/17,SCAN NO CHIP,OVER THE COUNTER
A0909582,DOG,LHASA APSO,NOV,2016,11002,4,OWNER SURRENDER,11/11/16,ADOPTION,11/13/16,SCAN CHIP,OVER THE COUNTER
A0990112,DOG,PIT BULL,APR,2017,5100,1,STRAY,4/21/17,RETURNED TO OWNER,4/21/17,SCAN NO CHIP,SWEEP
A1003182,DOG,CHOW CHOW,JUL,2017,8500,5,STRAY,7/26/17,RETURNED TO OWNER,7/26/17,UNABLE TO SCAN,SWEEP
A0994152,CAT,DOMESTIC SH,MAY,2017,5300,1,STRAY,5/17/17,TRANSFER,5/22/17,SCAN NO CHIP,OVER THE COUNTER
A1008606,CAT,DOMESTIC SH,SEP,2017,5400,4,OWNER SURRENDER,9/16/17,TRANSFER,9/19/17,SCAN NO CHIP,OVER THE COUNTER
A0959645,DOG,LABRADOR RETR,OCT,2016,10602,6,STRAY,10/12/16,ADOPTION,11/25/16,SCAN NO CHIP,SWEEP
A0992798,CAT,DOMESTIC SH,MAY,2017,16520,3,OWNER SURRENDER,5/10/17,TRANSFER,6/13/17,SCAN NO CHIP,OVER THE COUNTER
A1004144,DOG,GERM SHEPHERD,AUG,2017,11800,5,STRAY,8/4/17,ADOPTION,8/16/17,SCAN CHIP,FIELD
A0995894,WILDLIFE,RACCOON,MAY,2017,13619,12,WILDLIFE,5/29/17,DIED,5/30/17,SCAN NO CHIP,FIELD
A0932968,DOG,CHIHUAHUA SH,OCT,2016,13609,11,STRAY,10/25/16,RETURNED TO OWNER,10/25/16,SCAN CHIP,FIELD
A1003485,DOG,LABRADOR RETR,JUL,2017,9401,2,OWNER SURRENDER,7/29/17,TRANSFER,8/5/17,SCAN NO CHIP,OVER THE COUNTER
A0972389,DOG,AUST SHEPHERD,JAN,2017,12701,9,OWNER SURRENDER,1/6/17,RETURNED TO OWNER,1/9/17,SCAN CHIP,OVER THE COUNTER
A0987603,DOG,LHASA APSO,APR,2017,4500,1,STRAY,4/5/17,RETURNED TO OWNER,4/7/17,SCAN CHIP,SWEEP
A0965499,DOG,LABRADOR RETR,NOV,2016,8703,4,OWNER SURRENDER,11/17/16,EUTHANIZED,11/17/16,UNABLE TO SCAN,OVER THE COUNTER
A0995286,DOG,ALASK MALAMUTE,MAY,2017,5700,4,STRAY,5/24/17,ADOPTION,6/16/17,SCAN CHIP,FIELD
A1000845,DOG,CHIHUAHUA SH,JUL,2017,5300,1,STRAY,7/5/17,RETURNED TO OWNER,7/5/17,SCAN NO CHIP,SWEEP
A0995514,CAT,MUNCHKIN SH,MAY,2017,4202,1,OWNER SURRENDER,5/25/17,TRANSFER,5/28/17,SCAN NO CHIP,OVER THE COUNTER
A0972484,DOG,BOXER,JAN,2017,9301,5,STRAY,1/6/17,ADOPTION,1/24/17,SCAN NO CHIP,FIELD
A1001386,CAT,DOMESTIC SH,JUL,2017,19035,10,OWNER SURRENDER,7/10/17,EUTHANIZED,7/10/17,SCAN NO CHIP,FIELD
A0963364,DOG,GOLDEN RETR,JAN,2017,6800,1,STRAY,1/12/17,RETURNED TO OWNER,1/14/17,SCAN CHIP,OVER THE COUNTER
A0994701,DOG,CHIHUAHUA SH,MAY,2017,5300,1,CONFISCATED,5/20/17,TRANSFER,6/3/17,SCAN NO CHIP,FIELD
A0951464,DOG,CHIHUAHUA SH,OCT,2016,20500,6,OWNER SURRENDER,10/29/16,ADOPTION,10/29/16,SCAN CHIP,OVER THE COUNTER
A1005971,DOG,BOXER,AUG,2017,9201,5,STRAY,8/21/17,ADOPTION,8/30/17,SCAN NO CHIP,FIELD
A0994860,DOG,CHIHUAHUA SH,MAY,2017,5901,4,STRAY,5/22/17,TRANSFER,5/24/17,SCAN NO CHIP,SWEEP
A0979744,CAT,DOMESTIC SH,FEB,2017,11702,8,STRAY,2/6/17,EUTHANIZED,2/10/17,UNABLE TO SCAN,FIELD
A0978702,DOG,GERM SHEPHERD,FEB,2017,17001,8,STRAY,2/1/17,TRANSFER,2/11/17,SCAN NO CHIP,SWEEP
A0998666,CAT,DOMESTIC SH,JUN,2017,11103,3,STRAY,6/15/17,TRANSFER,6/19/17,SCAN NO CHIP,FIELD
A0961485,DOG,BORDER TERRIER,OCT,2016,3800,7,STRAY,10/20/16,TRANSFER,10/26/16,SCAN NO CHIP,FIELD
A0965170,DOG,PIT BULL,NOV,2016,10000,6,CONFISCATED,11/15/16,EUTHANIZED,11/27/16,SCAN NO CHIP,FIELD
A0907080,DOG,POINTER,APR,2017,10704,3,STRAY,4/5/17,ADOPTION,5/4/17,SCAN CHIP,SWEEP
A0908304,DOG,PIT BULL,DEC,2016,20500,6,LOST REPORT,12/29/16,LOST REPORT,1/10/17,UNABLE TO SCAN,OVER THE COUNTER
A0870321,DOG,AUST CATTLE DOG,DEC,2016,31717,12,OWNER SURRENDER,12/30/16,ADOPTION,1/24/17,SCAN CHIP,OVER THE COUNTER
A1001949,DOG,LABRADOR RETR,JUL,2017,7302,13,OWNER SURRENDER,7/15/17,FOSTER,7/29/17,SCAN NO CHIP,OVER THE COUNTER
A0983163,DOG,ALASKAN HUSKY,MAR,2017,12701,9,OWNER SURRENDER,3/2/17,ADOPTION,3/4/17,SCAN NO CHIP,OVER THE COUNTER
A0960665,CAT,DOMESTIC SH,OCT,2016,12500,9,OWNER SURRENDER,10/20/16,ADOPTION,10/22/16,SCAN NO CHIP,OVER THE COUNTER
A0981435,DOG,PIT BULL,FEB,2017,9000,7,STRAY,2/16/17,EUTHANIZED,2/28/17,SCAN CHIP,FIELD
A0993330,DOG,PIT BULL,MAY,2017,6001,4,CONFISCATED,5/13/17,EUTHANIZED,5/23/17,SCAN NO CHIP,FIELD
A1009029,DOG,YORKSHIRE TERR,SEP,2017,10704,6,STRAY,9/21/17,TRANSFER,9/27/17,SCAN NO CHIP,FIELD
A0986027,DOG,LABRADOR RETR,MAR,2017,3700,7,STRAY,3/23/17,EUTHANIZED,3/27/17,SCAN NO CHIP,FIELD
A0979414,BIRD,CROW,FEB,2017,7822,13,WILDLIFE,2/3/17,EUTHANIZED,2/3/17,SCAN NO CHIP,FIELD
A0966153,DOG,LABRADOR RETR,JAN,2017,8100,9,STRAY,1/19/17,TRANSFER,1/20/17,SCAN CHIP,FIELD
A0994622,DOG,MASTIFF,MAY,2017,11800,5,OWNER SURRENDER,5/20/17,TRANSFER,6/3/17,SCAN NO CHIP,OVER THE COUNTER
A0965474,DOG,CHIHUAHUA SH,NOV,2016,2701,7,OWNER SURRENDER,11/17/16,ADOPTION,11/20/16,SCAN NO CHIP,OVER THE COUNTER
A0994742,DOG,BEAGLE,MAY,2017,7913,14,OWNER SURRENDER,5/21/17,RETURNED TO OWNER,5/22/17,SCAN CHIP,OVER THE COUNTER
A0966637,DOG,COLLIE SMOOTH,NOV,2016,13605,12,OWNER SURRENDER,11/28/16,ADOPTION,11/30/16,SCAN NO CHIP,OVER THE COUNTER
A0992476,DOG,CATAHOULA,MAY,2017,12603,9,STRAY,5/8/17,EUTHANIZED,5/14/17,SCAN NO CHIP,FIELD
A0990377,DOG,PIT BULL,APR,2017,9103,5,OWNER SURRENDER,4/24/17,RETURNED TO OWNER,4/27/17,SCAN NO CHIP,FIELD
A0969345,DOG,GERM SHEPHERD,DEC,2016,10602,6,STRAY,12/12/16,EUTHANIZED,12/16/16,SCAN NO CHIP,SWEEP
A0969972,DOG,AM PIT BULL TER,DEC,2016,NA,NA,LOST REPORT,12/19/16,LOST REPORT,1/3/17,UNABLE TO SCAN,OVER THE COUNTER
A0967543,DOG,CHIHUAHUA SH,DEC,2016,8400,7,STRAY,12/2/16,ADOPTION,12/8/16,SCAN NO CHIP,FIELD
A0981421,CAT,DOMESTIC SH,FEB,2017,12603,9,STRAY,2/16/17,TRANSFER,2/20/17,UNABLE TO SCAN,FIELD
A0972117,CAT,DOMESTIC SH,JAN,2017,6900,1,STRAY,1/4/17,TRANSFER,1/9/17,UNABLE TO SCAN,OVER THE COUNTER
A0963115,CAT,DOMESTIC SH,NOV,2016,4201,1,STRAY,11/4/16,TRANSFER,11/10/16,SCAN CHIP,OVER THE COUNTER
A1008978,DOG,PIT BULL,SEP,2017,16605,8,STRAY,9/20/17,RETURNED TO OWNER,9/20/17,SCAN NO CHIP,SWEEP
A0985288,WILDLIFE,OPOSSUM,MAR,2017,9900,6,WILDLIFE,3/17/17,WILDLIFE,3/18/17,SCAN NO CHIP,FIELD
A0989167,DOG,PIT BULL,APR,2017,6700,3,LOST REPORT,4/14/17,LOST REPORT,4/25/17,SCAN NO CHIP,OVER THE COUNTER
A1006542,DOG,CHIHUAHUA SH,AUG,2017,7201,6,STRAY,8/27/17,TRANSFER,8/28/17,SCAN NO CHIP,FIELD
A0965308,DOG,CHIHUAHUA SH,NOV,2016,5600,4,STRAY,11/16/16,ADOPTION,11/26/16,SCAN NO CHIP,SWEEP
A0981205,DOG,CHIHUAHUA SH,FEB,2017,9303,5,STRAY,2/15/17,RETURNED TO OWNER,2/17/17,SCAN NO CHIP,FIELD
A1001568,CAT,DOMESTIC SH,JUL,2017,8500,5,STRAY,7/11/17,EUTHANIZED,7/13/17,SCAN NO CHIP,FIELD
A1007265,DOG,CHIHUAHUA SH,SEP,2017,10701,3,STRAY,9/2/17,RETURNED TO OWNER,9/6/17,SCAN NO CHIP,OVER THE COUNTER
A1004753,DOG,ROTTWEILER,AUG,2017,16510,3,STRAY,8/10/17,RETURNED TO OWNER,8/14/17,SCAN CHIP,FIELD
A0972685,DOG,PIT BULL,JAN,2017,8604,4,STRAY,1/9/17,RETURNED TO OWNER,1/11/17,SCAN NO CHIP,SWEEP
A0968085,DOG,SCHNAUZER MIN,APR,2017,11001,3,STRAY,4/10/17,TRANSFER,4/22/17,SCAN CHIP,OVER THE COUNTER
A0927393,DOG,MASTIFF,JUL,2017,2000,1,STRAY,7/14/17,RETURNED TO OWNER,7/15/17,SCAN CHIP,OVER THE COUNTER
A0971354,DOG,DACHSHUND,DEC,2016,75228,28,FOUND REPORT,12/29/16,FOUND REPORT,1/10/17,UNABLE TO SCAN,OVER THE COUNTER
A0982842,DOG,GERM SHEPHERD,FEB,2017,5400,4,STRAY,2/27/17,RETURNED TO OWNER,3/1/17,SCAN NO CHIP,FIELD
A0993143,DOG,SHIH TZU,MAY,2017,17101,8,OWNER SURRENDER,5/12/17,TRANSFER,5/13/17,SCAN CHIP,OVER THE COUNTER
A0995411,DOG,CATAHOULA,MAY,2017,5600,4,STRAY,5/25/17,ADOPTION,6/28/17,SCAN NO CHIP,FIELD
A0966118,DOG,LABRADOR RETR,NOV,2016,5901,4,OWNER SURRENDER,11/21/16,ADOPTION,11/26/16,SCAN NO CHIP,FIELD
A0970283,DOG,CHIHUAHUA SH,DEC,2016,75219,19,FOUND REPORT,12/21/16,FOUND REPORT,1/3/17,UNABLE TO SCAN,OVER THE COUNTER
